epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,489.692,0.88383,0.47118,0.91238,0.91792,0.92423,0.97081,0.73254,0.96473,0.48502,0.95485,0.001226,0.001226,0.001226
45,500.715,0.85482,0.44589,0.9075,0.93484,0.91869,0.9697,0.73543,0.95549,0.45874,0.94843,0.001208,0.001208,0.001208
46,511.72,0.86122,0.45038,0.91029,0.91939,0.93724,0.96724,0.74031,0.94958,0.47349,0.94713,0.00119,0.00119,0.00119
47,522.848,0.86495,0.44887,0.91228,0.93307,0.92423,0.97444,0.73624,0.96526,0.47027,0.952,0.001172,0.001172,0.001172
48,533.914,0.84133,0.43664,0.909,0.90938,0.93178,0.97613,0.74596,0.95679,0.47063,0.94972,0.001154,0.001154,0.001154
49,545.029,0.85831,0.44641,0.90553,0.91324,0.93063,0.97288,0.73975,0.967,0.46888,0.95349,0.001136,0.001136,0.001136
50,556.139,0.85617,0.44011,0.90217,0.91468,0.9382,0.97532,0.73325,0.993,0.47316,0.95796,0.001118,0.001118,0.001118
51,567.161,0.84335,0.44279,0.9064,0.90281,0.91889,0.964,0.73092,0.96256,0.49863,0.94941,0.0011,0.0011,0.0011
52,578.203,0.84834,0.43997,0.90496,0.91212,0.9349,0.97266,0.72902,0.99435,0.47385,0.96071,0.001082,0.001082,0.001082
53,589.281,0.84868,0.44878,0.90742,0.92337,0.92956,0.96957,0.72548,0.97622,0.48819,0.95682,0.001064,0.001064,0.001064
54,600.34,0.83299,0.4304,0.90044,0.89862,0.95197,0.97434,0.73591,0.96225,0.4839,0.95013,0.001046,0.001046,0.001046
55,611.357,0.82148,0.43379,0.89843,0.917,0.93152,0.9687,0.73303,0.96628,0.50958,0.95455,0.001028,0.001028,0.001028
56,622.406,0.81808,0.42209,0.89329,0.91179,0.92529,0.97051,0.73529,0.97053,0.48363,0.95713,0.00101,0.00101,0.00101
57,633.515,0.81872,0.41938,0.90013,0.92068,0.91676,0.96799,0.72588,0.97241,0.48003,0.95889,0.000992,0.000992,0.000992
58,644.572,0.82199,0.42312,0.90275,0.92373,0.91766,0.97043,0.73623,0.98026,0.46804,0.95252,0.000974,0.000974,0.000974
59,655.605,0.81547,0.42125,0.90023,0.9093,0.9445,0.9761,0.74401,0.96588,0.4651,0.94916,0.000956,0.000956,0.000956
60,666.595,0.80405,0.41364,0.89365,0.91364,0.92423,0.96498,0.7305,0.96625,0.49003,0.95242,0.000938,0.000938,0.000938
61,677.595,0.8205,0.41296,0.89737,0.93072,0.91355,0.96727,0.73339,0.97237,0.47139,0.95186,0.00092,0.00092,0.00092
62,688.612,0.80105,0.40526,0.88978,0.91719,0.92743,0.96437,0.73411,0.96039,0.48315,0.95331,0.000902,0.000902,0.000902
63,699.588,0.79449,0.40015,0.89274,0.92655,0.92316,0.97311,0.73231,0.98487,0.48754,0.9593,0.000884,0.000884,0.000884
64,710.63,0.81293,0.41148,0.89184,0.91091,0.94023,0.96591,0.73876,0.95389,0.47519,0.94847,0.000866,0.000866,0.000866
65,721.624,0.79953,0.40118,0.88873,0.91941,0.92209,0.97102,0.73946,0.95378,0.49946,0.94933,0.000848,0.000848,0.000848
66,732.625,0.77883,0.39925,0.88794,0.91674,0.94984,0.96954,0.73482,0.97028,0.44831,0.95804,0.00083,0.00083,0.00083
67,743.604,0.78901,0.39824,0.89001,0.91668,0.93935,0.96894,0.73917,0.96265,0.46543,0.95353,0.000812,0.000812,0.000812
68,754.63,0.78934,0.39601,0.88892,0.92358,0.92636,0.97061,0.74141,0.95614,0.46523,0.95007,0.000794,0.000794,0.000794
69,765.67,0.76958,0.38829,0.88131,0.90891,0.93383,0.96878,0.73241,0.96517,0.47537,0.95798,0.000776,0.000776,0.000776
70,776.723,0.77279,0.39173,0.88769,0.92699,0.9349,0.96964,0.73638,0.96734,0.44824,0.95184,0.000758,0.000758,0.000758
71,787.804,0.78092,0.39595,0.88253,0.88615,0.95197,0.96865,0.7401,0.96719,0.47523,0.95081,0.00074,0.00074,0.00074
72,798.813,0.76953,0.39324,0.87897,0.89291,0.95219,0.96699,0.73658,0.96771,0.46502,0.95253,0.000722,0.000722,0.000722
73,809.833,0.76778,0.39229,0.88559,0.90907,0.93597,0.97155,0.73957,0.97436,0.46536,0.95505,0.000704,0.000704,0.000704
74,820.829,0.74657,0.38482,0.88144,0.92129,0.92441,0.96796,0.73397,0.96133,0.46959,0.9561,0.000686,0.000686,0.000686
75,831.856,0.7635,0.3857,0.88364,0.91582,0.92881,0.96959,0.73694,0.9768,0.46942,0.95827,0.000668,0.000668,0.000668
76,842.967,0.76576,0.39517,0.88663,0.93083,0.93359,0.97151,0.74176,0.97773,0.45921,0.96039,0.00065,0.00065,0.00065
77,853.982,0.76378,0.38637,0.88191,0.9259,0.93348,0.97336,0.73905,0.96979,0.46662,0.95639,0.000632,0.000632,0.000632
78,864.981,0.75496,0.3887,0.88195,0.90983,0.9317,0.9691,0.73262,0.98185,0.49298,0.96424,0.000614,0.000614,0.000614
79,876.048,0.74019,0.38291,0.87882,0.90717,0.94903,0.96804,0.73598,0.97465,0.46517,0.95556,0.000596,0.000596,0.000596
80,887.079,0.75111,0.38471,0.8797,0.91244,0.9413,0.97345,0.74169,0.96934,0.46317,0.95478,0.000578,0.000578,0.000578
81,898.071,0.73861,0.37763,0.88072,0.90942,0.9381,0.96109,0.7305,0.96241,0.46863,0.95173,0.00056,0.00056,0.00056
82,909.148,0.73369,0.36929,0.87363,0.92138,0.92556,0.96764,0.73921,0.97054,0.4617,0.9548,0.000542,0.000542,0.000542
83,920.16,0.73601,0.37302,0.8756,0.90995,0.95304,0.96283,0.73398,0.97245,0.45257,0.95887,0.000524,0.000524,0.000524
84,931.183,0.73397,0.36687,0.87516,0.89415,0.94771,0.96498,0.73191,0.96988,0.47481,0.95813,0.000506,0.000506,0.000506
85,942.183,0.7283,0.36992,0.87593,0.91309,0.95304,0.96723,0.73641,0.97177,0.4497,0.95852,0.000488,0.000488,0.000488
86,953.251,0.72386,0.36189,0.87918,0.89508,0.95091,0.96763,0.73542,0.97288,0.47245,0.95856,0.00047,0.00047,0.00047
87,964.224,0.71222,0.36069,0.8682,0.88879,0.96378,0.96326,0.7368,0.97044,0.45864,0.96027,0.000452,0.000452,0.000452
88,975.261,0.71288,0.36505,0.87131,0.8991,0.94877,0.96788,0.73557,0.97805,0.46938,0.9608,0.000434,0.000434,0.000434
89,986.209,0.72218,0.36709,0.87286,0.88115,0.95742,0.96857,0.74165,0.96418,0.46965,0.9558,0.000416,0.000416,0.000416
90,997.26,0.70313,0.35905,0.86701,0.91528,0.9317,0.96796,0.73007,0.99808,0.47916,0.96578,0.000398,0.000398,0.000398
91,1009.35,0.69248,0.34376,0.86966,0.91119,0.94237,0.96392,0.73241,0.98086,0.46642,0.96137,0.00038,0.00038,0.00038
92,1020.37,0.67819,0.33132,0.86484,0.92399,0.92109,0.96374,0.73834,0.96697,0.46518,0.95814,0.000362,0.000362,0.000362
93,1031.14,0.67035,0.33172,0.86064,0.9267,0.93276,0.96429,0.73447,0.97179,0.46266,0.96314,0.000344,0.000344,0.000344
94,1042.01,0.67093,0.32724,0.86057,0.90326,0.94877,0.9646,0.73426,0.9708,0.46593,0.95926,0.000326,0.000326,0.000326
95,1052.87,0.66429,0.32657,0.85719,0.90333,0.94742,0.96613,0.73662,0.96803,0.47193,0.95872,0.000308,0.000308,0.000308
96,1063.71,0.66421,0.32607,0.85726,0.89872,0.9445,0.95682,0.72753,0.9632,0.48615,0.95743,0.00029,0.00029,0.00029
97,1074.53,0.66269,0.32198,0.86084,0.91894,0.93165,0.96433,0.73348,0.973,0.46066,0.95936,0.000272,0.000272,0.000272
98,1085.36,0.64957,0.31943,0.85619,0.90366,0.93917,0.96756,0.73532,0.97124,0.47951,0.95955,0.000254,0.000254,0.000254
